# Forces        
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
2.05            	((1.45491647e+00 -1.52218502e-08 7.71499304e-21) (1.03874737e+00 1.88267271e-08 -3.27679765e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.60228891e-20 -6.98060592e-21 2.44541800e-15) (-6.16370720e-20 6.48793122e-23 1.65776462e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.1             	((1.45381159e+00 -1.43758340e-08 7.68359748e-21) (1.03282686e+00 1.87144693e-08 -3.44151323e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.69432740e-20 -6.98513163e-21 2.43902121e-15) (-6.15463799e-20 6.63279466e-23 1.71360123e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.15            	((1.45275368e+00 -1.33582237e-08 7.65269092e-21) (1.02716703e+00 1.85926089e-08 -3.59554225e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.78356723e-20 -6.98965334e-21 2.41310878e-15) (-6.14611705e-20 6.76790434e-23 1.76980029e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.2             	((1.45173393e+00 -1.21802572e-08 7.62225726e-21) (1.02175099e+00 1.84621137e-08 -3.73948631e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.87005542e-20 -6.99413704e-21 2.40389306e-15) (-6.13806352e-20 6.89379957e-23 1.82580946e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.25            	((1.45074462e+00 -1.08528126e-08 7.59228095e-21) (1.01656319e+00 1.83226831e-08 -3.87392185e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((6.95384408e-20 -6.99855318e-21 2.38275111e-15) (-6.13039941e-20 7.01100014e-23 1.88112087e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.3             	((1.44977904e+00 -9.40613879e-09 7.56274732e-21) (1.01158936e+00 1.81738597e-08 -3.99936336e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.03498514e-20 -7.00287678e-21 2.35412818e-15) (-6.12307310e-20 7.11996929e-23 1.93526820e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.35            	((1.44883134e+00 -7.89053402e-09 7.53364231e-21) (1.00681634e+00 1.80152778e-08 -4.11630952e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.11353341e-20 -7.00708645e-21 2.31834951e-15) (-6.11603458e-20 7.22115889e-23 1.98784302e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.4             	((1.44789641e+00 -6.35408077e-09 7.50495232e-21) (1.00223197e+00 1.78467233e-08 -4.22522995e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.18954542e-20 -7.01116383e-21 2.25860997e-15) (-6.10923851e-20 7.31499573e-23 2.03849603e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.45            	((1.44696980e+00 -1.12646715e-08 7.47666395e-21) (9.97825015e-01 1.76949414e-08 -4.32655837e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.26308122e-20 -7.01509331e-21 2.24321429e-15) (-6.10264658e-20 7.40187381e-23 2.08605092e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
2.5             	((1.44604773e+00 -9.29250874e-09 7.44876593e-21) (9.93585078e-01 1.75215841e-08 -4.42072291e-23) (0.00000000e+00 0.00000000e+00 0.00000000e+00)) ((7.33420086e-20 -7.01886227e-21 2.18531790e-15) (-6.09622313e-20 7.48218637e-23 2.13345184e-09) (0.00000000e+00 0.00000000e+00 0.00000000e+00))
