# Force coefficients
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 2.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
6.6             	3.55048561e-09	2.20792375e+00	2.49848747e-07	1.28474859e-07	1.21373888e-07
6.65            	3.39907668e-09	2.20616610e+00	2.20886115e-07	1.13842134e-07	1.07043981e-07
6.7             	3.26995442e-09	2.20442461e+00	2.99858640e-07	1.53199274e-07	1.46659366e-07
6.75            	3.12549805e-09	2.20269968e+00	3.17605489e-07	1.61928242e-07	1.55677246e-07
6.8             	2.97589620e-09	2.20099087e+00	3.48798702e-07	1.77375247e-07	1.71423455e-07
6.85            	2.81924436e-09	2.19929806e+00	3.76824610e-07	1.91231549e-07	1.85593060e-07
6.9             	2.62244010e-09	2.19762045e+00	1.74598487e-07	8.99216837e-08	8.46768035e-08
6.95            	2.49467022e-09	2.19595914e+00	1.95703475e-07	1.00346408e-07	9.53570671e-08
7               	2.39067010e-09	2.19431332e+00	2.15120635e-07	1.09950988e-07	1.05169648e-07
7.05            	2.28800796e-09	2.19268282e+00	2.30873382e-07	1.17724699e-07	1.13148683e-07
7.1             	2.18049884e-09	2.19106747e+00	2.47024849e-07	1.25692924e-07	1.21331926e-07
7.15            	2.06584456e-09	2.18946712e+00	2.62708317e-07	1.33420003e-07	1.29288314e-07
7.2             	1.94407940e-09	2.18788160e+00	2.77461342e-07	1.40674750e-07	1.36786592e-07
7.25            	1.81608482e-09	2.18631074e+00	2.91091561e-07	1.47361865e-07	1.43729696e-07
7.3             	1.68293614e-09	2.18475441e+00	3.03445715e-07	1.53405794e-07	1.50039921e-07
7.35            	1.54567842e-09	2.18321242e+00	3.14456733e-07	1.58774045e-07	1.55682688e-07
7.4             	1.40525779e-09	2.18168464e+00	3.24112609e-07	1.63461562e-07	1.60651047e-07
7.45            	1.26250895e-09	2.18017091e+00	3.32440930e-07	1.67482974e-07	1.64957956e-07
7.5             	1.11815725e-09	2.17867107e+00	3.39493116e-07	1.70864715e-07	1.68628401e-07
7.55            	9.72825129e-10	2.17718498e+00	3.45336491e-07	1.73641071e-07	1.71695421e-07
7.6             	8.27039721e-10	2.17571248e+00	3.50045023e-07	1.75849551e-07	1.74195472e-07
7.65            	6.81243899e-10	2.17425344e+00	3.53699417e-07	1.77530952e-07	1.76168465e-07
7.7             	5.35804191e-10	2.17280771e+00	3.56374794e-07	1.78723201e-07	1.77651593e-07
7.75            	3.91021645e-10	2.17137514e+00	3.58152964e-07	1.79467503e-07	1.78685460e-07
7.8             	2.47137699e-10	2.16995560e+00	3.59102395e-07	1.79798335e-07	1.79304060e-07
7.85            	1.04344433e-10	2.16854893e+00	3.59296877e-07	1.79752783e-07	1.79544094e-07
7.9             	-3.72079626e-11	2.16715501e+00	3.58803826e-07	1.79364705e-07	1.79439121e-07
7.95            	-1.77408045e-10	2.16577370e+00	3.57682650e-07	1.78663917e-07	1.79018733e-07
8               	-3.16173549e-10	2.16440486e+00	3.55995696e-07	1.77681674e-07	1.78314021e-07
8.05            	-4.53454666e-10	2.16304836e+00	3.53796448e-07	1.76444769e-07	1.77351678e-07
8.1             	-5.89215885e-10	2.16170407e+00	3.51134216e-07	1.74977892e-07	1.76156324e-07
8.15            	-7.23437677e-10	2.16037186e+00	3.48058885e-07	1.73306005e-07	1.74752880e-07
8.2             	-8.56119528e-10	2.15905159e+00	3.44613937e-07	1.71450849e-07	1.73163088e-07
8.25            	-9.87275105e-10	2.15774314e+00	3.40838506e-07	1.69431978e-07	1.71406528e-07
8.3             	-1.11692532e-09	2.15644639e+00	3.36772326e-07	1.67269238e-07	1.69503088e-07
8.35            	-1.24510052e-09	2.15516121e+00	3.32449089e-07	1.64979444e-07	1.67469645e-07
8.4             	-1.37183543e-09	2.15388748e+00	3.27902952e-07	1.62579641e-07	1.65323311e-07
8.45            	-1.49716928e-09	2.15262507e+00	3.23163611e-07	1.60084636e-07	1.63078975e-07
8.5             	-1.62114461e-09	2.15137388e+00	3.18259925e-07	1.57508818e-07	1.60751107e-07
8.55            	-1.74380637e-09	2.15013378e+00	3.13213973e-07	1.54863180e-07	1.58350793e-07
8.6             	-1.86519849e-09	2.14890465e+00	3.08056861e-07	1.52163232e-07	1.55893629e-07
8.65            	-1.98536843e-09	2.14768638e+00	3.02805506e-07	1.49417384e-07	1.53388121e-07
8.7             	-2.10436067e-09	2.14647885e+00	2.97480618e-07	1.46635948e-07	1.50844670e-07
8.75            	-2.22221900e-09	2.14528196e+00	2.92099533e-07	1.43827547e-07	1.48271985e-07
8.8             	-2.33898610e-09	2.14409558e+00	2.86674820e-07	1.40998424e-07	1.45676396e-07
8.85            	-2.45469750e-09	2.14291962e+00	2.81244415e-07	1.38167510e-07	1.43076905e-07
8.9             	-2.56939472e-09	2.14175396e+00	2.75801400e-07	1.35331305e-07	1.40470095e-07
8.95            	-2.68311203e-09	2.14059850e+00	2.70366864e-07	1.32500320e-07	1.37866544e-07
9               	-2.79588035e-09	2.13945313e+00	2.64952536e-07	1.29680388e-07	1.35272149e-07
9.05            	-2.90773039e-09	2.13831775e+00	2.59564020e-07	1.26874279e-07	1.32689740e-07
9.1             	-2.98927248e-09	2.13719225e+00	4.47567858e-07	2.20794657e-07	2.26773201e-07
9.15            	-3.13498432e-09	2.13607654e+00	4.33541677e-07	2.13635854e-07	2.19905823e-07
9.2             	-3.30092679e-09	2.13497051e+00	4.25573597e-07	2.09485872e-07	2.16087725e-07
9.25            	-3.47062048e-09	2.13387406e+00	4.17685080e-07	2.05371919e-07	2.12313160e-07
9.3             	-3.63655946e-09	2.13278710e+00	4.10022898e-07	2.01374890e-07	2.08648008e-07
9.35            	-3.79607858e-09	2.13170953e+00	4.02490829e-07	1.97449336e-07	2.05041493e-07
9.4             	-3.94888700e-09	2.13064126e+00	3.95065371e-07	1.93583798e-07	2.01481572e-07
9.45            	-4.09637791e-09	2.12958222e+00	3.82989209e-07	1.87398227e-07	1.95590983e-07
