# Region type : patch outlet
#     Faces  : 10
#     Area   : 9.65749567e-02
#          Time	max(U)	max(p)
              8	(9.85343779e-01 1.78917933e-08 0.00000000e+00)	0.00000000e+00
           8.05	(9.89474110e-01 1.76747052e-08 0.00000000e+00)	0.00000000e+00
            8.1	(9.93582789e-01 1.74562125e-08 0.00000000e+00)	0.00000000e+00
           8.15	(9.97669926e-01 1.72364221e-08 0.00000000e+00)	0.00000000e+00
            8.2	(1.00173563e+00 1.70154341e-08 0.00000000e+00)	0.00000000e+00
           8.25	(1.00578002e+00 1.68301827e-08 0.00000000e+00)	0.00000000e+00
            8.3	(1.00980321e+00 1.65852882e-08 0.00000000e+00)	0.00000000e+00
           8.35	(1.01380529e+00 1.63106410e-08 0.00000000e+00)	0.00000000e+00
            8.4	(1.01778639e+00 1.60178575e-08 0.00000000e+00)	0.00000000e+00
           8.45	(1.02174660e+00 1.57159512e-08 0.00000000e+00)	0.00000000e+00
            8.5	(1.02568605e+00 1.54110426e-08 0.00000000e+00)	0.00000000e+00
           8.55	(1.02960484e+00 1.51082641e-08 0.00000000e+00)	0.00000000e+00
            8.6	(1.03350307e+00 1.48109199e-08 0.00000000e+00)	0.00000000e+00
           8.65	(1.03738086e+00 1.45206833e-08 0.00000000e+00)	0.00000000e+00
            8.7	(1.04123832e+00 1.42378812e-08 0.00000000e+00)	0.00000000e+00
           8.75	(1.04507554e+00 1.39619555e-08 0.00000000e+00)	0.00000000e+00
            8.8	(1.04889263e+00 1.36918421e-08 0.00000000e+00)	0.00000000e+00
           8.85	(1.05268971e+00 1.34262685e-08 0.00000000e+00)	0.00000000e+00
            8.9	(1.05646687e+00 1.31639576e-08 0.00000000e+00)	0.00000000e+00
           8.95	(1.06022422e+00 1.29037628e-08 0.00000000e+00)	0.00000000e+00
              9	(1.06396187e+00 1.26447559e-08 0.00000000e+00)	0.00000000e+00
           9.05	(1.06767992e+00 1.23862276e-08 0.00000000e+00)	0.00000000e+00
            9.1	(1.07137847e+00 1.21276879e-08 0.00000000e+00)	0.00000000e+00
           9.15	(1.07505762e+00 1.18688306e-08 0.00000000e+00)	0.00000000e+00
            9.2	(1.07871749e+00 1.16095008e-08 0.00000000e+00)	0.00000000e+00
           9.25	(1.08235816e+00 1.13496463e-08 0.00000000e+00)	0.00000000e+00
            9.3	(1.08597975e+00 1.10892869e-08 0.00000000e+00)	0.00000000e+00
           9.35	(1.08958235e+00 1.08284882e-08 0.00000000e+00)	0.00000000e+00
            9.4	(1.09316606e+00 1.05673332e-08 0.00000000e+00)	0.00000000e+00
           9.45	(1.09673099e+00 1.03059134e-08 0.00000000e+00)	0.00000000e+00
            9.5	(1.10027723e+00 1.00443171e-08 0.00000000e+00)	0.00000000e+00
           9.55	(1.10380489e+00 9.78263071e-09 0.00000000e+00)	0.00000000e+00
            9.6	(1.10731406e+00 9.52093390e-09 0.00000000e+00)	0.00000000e+00
           9.65	(1.11080483e+00 9.25930401e-09 0.00000000e+00)	0.00000000e+00
            9.7	(1.11427732e+00 8.99781180e-09 0.00000000e+00)	0.00000000e+00
           9.75	(1.11773161e+00 8.73652557e-09 0.00000000e+00)	0.00000000e+00
            9.8	(1.12116780e+00 8.47551102e-09 0.00000000e+00)	0.00000000e+00
           9.85	(1.12458599e+00 8.21483321e-09 0.00000000e+00)	0.00000000e+00
            9.9	(1.12798628e+00 7.95455585e-09 0.00000000e+00)	0.00000000e+00
           9.95	(1.13136875e+00 7.69474273e-09 0.00000000e+00)	0.00000000e+00
             10	(1.13473351e+00 7.52848988e-09 0.00000000e+00)	0.00000000e+00
          10.05	(1.13808065e+00 7.31470459e-09 0.00000000e+00)	0.00000000e+00
           10.1	(1.14141026e+00 7.13175989e-09 0.00000000e+00)	0.00000000e+00
          10.15	(1.14472244e+00 6.93598839e-09 0.00000000e+00)	0.00000000e+00
           10.2	(1.14801728e+00 6.71971583e-09 0.00000000e+00)	0.00000000e+00
          10.25	(1.15129487e+00 6.48758631e-09 0.00000000e+00)	0.00000000e+00
           10.3	(1.15455531e+00 6.24411940e-09 0.00000000e+00)	0.00000000e+00
          10.35	(1.15779868e+00 5.99333869e-09 0.00000000e+00)	0.00000000e+00
           10.4	(1.16102508e+00 5.73839405e-09 0.00000000e+00)	0.00000000e+00
          10.45	(1.16423460e+00 5.48147472e-09 0.00000000e+00)	0.00000000e+00
           10.5	(1.16742732e+00 5.22391476e-09 0.00000000e+00)	0.00000000e+00
          10.55	(1.17060335e+00 4.96664423e-09 0.00000000e+00)	0.00000000e+00
           10.6	(1.17376276e+00 4.71024149e-09 0.00000000e+00)	0.00000000e+00
          10.65	(1.17690564e+00 4.45502865e-09 0.00000000e+00)	0.00000000e+00
           10.7	(1.18003210e+00 4.20116587e-09 0.00000000e+00)	0.00000000e+00
          10.75	(1.18314220e+00 3.94872084e-09 0.00000000e+00)	0.00000000e+00
           10.8	(1.18623604e+00 3.69775739e-09 0.00000000e+00)	0.00000000e+00
          10.85	(1.18931371e+00 3.44834147e-09 0.00000000e+00)	0.00000000e+00
           10.9	(1.19237530e+00 3.20052567e-09 0.00000000e+00)	0.00000000e+00
          10.95	(1.19542088e+00 2.95433731e-09 0.00000000e+00)	0.00000000e+00
             11	(1.19845055e+00 2.70979817e-09 0.00000000e+00)	0.00000000e+00
          11.05	(1.20146439e+00 2.46695671e-09 0.00000000e+00)	0.00000000e+00
           11.1	(1.20446248e+00 2.22591217e-09 0.00000000e+00)	0.00000000e+00
          11.15	(1.20744491e+00 1.98635912e-09 0.00000000e+00)	0.00000000e+00
           11.2	(1.21041177e+00 1.74830621e-09 0.00000000e+00)	0.00000000e+00
          11.25	(1.21336313e+00 1.51169442e-09 0.00000000e+00)	0.00000000e+00
           11.3	(1.21629908e+00 1.27638005e-09 0.00000000e+00)	0.00000000e+00
          11.35	(1.21921971e+00 1.04199419e-09 0.00000000e+00)	0.00000000e+00
           11.4	(1.22212508e+00 8.07661640e-10 0.00000000e+00)	0.00000000e+00
          11.45	(1.22501530e+00 5.73935540e-10 0.00000000e+00)	0.00000000e+00
           11.5	(1.22789043e+00 4.96916052e-10 0.00000000e+00)	0.00000000e+00
          11.55	(1.23075056e+00 7.05668181e-10 0.00000000e+00)	0.00000000e+00
           11.6	(1.23359576e+00 9.12753315e-10 0.00000000e+00)	0.00000000e+00
          11.65	(1.23642613e+00 1.11798639e-09 0.00000000e+00)	0.00000000e+00
           11.7	(1.23924173e+00 1.32183083e-09 0.00000000e+00)	0.00000000e+00
          11.75	(1.24204265e+00 1.52463782e-09 0.00000000e+00)	0.00000000e+00
           11.8	(1.24482896e+00 1.72609881e-09 0.00000000e+00)	0.00000000e+00
          11.85	(1.24760075e+00 1.92619908e-09 0.00000000e+00)	0.00000000e+00
           11.9	(1.25035808e+00 2.12501511e-09 0.00000000e+00)	0.00000000e+00
          11.95	(1.25310105e+00 2.32260415e-09 0.00000000e+00)	0.00000000e+00
             12	(1.25582972e+00 2.51853248e-09 0.00000000e+00)	0.00000000e+00
          12.05	(1.25854417e+00 2.71294041e-09 0.00000000e+00)	0.00000000e+00
           12.1	(1.26124449e+00 2.90585758e-09 0.00000000e+00)	0.00000000e+00
          12.15	(1.26393073e+00 3.09689047e-09 0.00000000e+00)	0.00000000e+00
           12.2	(1.26660299e+00 3.28627115e-09 0.00000000e+00)	0.00000000e+00
          12.25	(1.26926132e+00 3.47394298e-09 0.00000000e+00)	0.00000000e+00
           12.3	(1.27190582e+00 3.65986753e-09 0.00000000e+00)	0.00000000e+00
          12.35	(1.27453655e+00 3.84395641e-09 0.00000000e+00)	0.00000000e+00
           12.4	(1.27715358e+00 4.02609793e-09 0.00000000e+00)	0.00000000e+00
          12.45	(1.27975700e+00 4.20617288e-09 0.00000000e+00)	0.00000000e+00
           12.5	(1.28234687e+00 4.38404921e-09 0.00000000e+00)	0.00000000e+00
          12.55	(1.28492326e+00 4.55957905e-09 0.00000000e+00)	0.00000000e+00
           12.6	(1.28748625e+00 4.73257078e-09 0.00000000e+00)	0.00000000e+00
          12.65	(1.29003590e+00 4.90277594e-09 0.00000000e+00)	0.00000000e+00
           12.7	(1.29257230e+00 5.06982609e-09 0.00000000e+00)	0.00000000e+00
          12.75	(1.29509551e+00 5.23337050e-09 0.00000000e+00)	0.00000000e+00
           12.8	(1.29760560e+00 5.39298809e-09 0.00000000e+00)	0.00000000e+00
          12.85	(1.30010264e+00 5.54813738e-09 0.00000000e+00)	0.00000000e+00
           12.9	(1.30258670e+00 5.69832018e-09 0.00000000e+00)	0.00000000e+00
          12.95	(1.30505785e+00 5.84280514e-09 0.00000000e+00)	0.00000000e+00
             13	(1.30751616e+00 5.98071326e-09 0.00000000e+00)	0.00000000e+00
          13.05	(1.30996170e+00 6.11134198e-09 0.00000000e+00)	0.00000000e+00
           13.1	(1.31239454e+00 6.23368145e-09 0.00000000e+00)	0.00000000e+00
          13.15	(1.31481474e+00 6.34634664e-09 0.00000000e+00)	0.00000000e+00
           13.2	(1.31722237e+00 6.44824676e-09 0.00000000e+00)	0.00000000e+00
          13.25	(1.31961750e+00 6.53862615e-09 0.00000000e+00)	0.00000000e+00
           13.3	(1.32200020e+00 6.61500957e-09 0.00000000e+00)	0.00000000e+00
